source,date,exchange,product,variety,grade,min_price_tlkg,max_price_tlkg,avg_price_tlkg,last_price_tlkg,volume_kg,transaction_count,transaction_value_tl,url
tobb,2005-06-20 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.88,6.48,6.29,,98.088,3.0,617432.44,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-21 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.1,6.5,6.41,,,16.0,7225054.93,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-23 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.36,6.5,6.4,,180.661,2.0,1155857.3,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-24 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.6,6.6,6.6,,44.2,1.0,291720.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-27 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.3,6.5,6.43,,142.578,2.0,916507.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-28 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.45,6.75,6.52,,164.071,3.0,1069567.9,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-29 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.4,6.4,6.4,,6.0,1.0,38400.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-01 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.65,6.65,6.65,,73.96,1.0,491832.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-04 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.49,6.64,6.55,,180.346,3.0,1182110.94,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-05 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.48,6.7,6.52,,322.875,3.0,2105610.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-06 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.12,6.39,6.37,,90.681,2.0,577773.55,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-07 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.9,6.63,6.6,,144.66,3.0,954300.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-08 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.11,6.11,6.11,,45.963,1.0,280695.92,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-11 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.15,6.55,6.29,,163.385,4.0,1027908.45,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-12 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.48,6.56,6.49,,135.673,2.0,881136.6,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-13 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.35,6.35,6.35,,120.641,1.0,766070.35,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-14 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.5,6.5,6.5,,94.125,1.0,611812.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-15 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.4,6.5,6.48,,242.36,3.0,1569436.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-07-18 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.14,6.5,6.33,,46.587,4.0,294939.86,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
