month,tur_usd,ulker_try,mdlz_usd,nestle_usd,barry_chf,hershey_usd,bunge_usd,cocoa_usd,dba_usd,tryusd
2008-09,28.578704833984375,1.7969542741775513,13.855082511901855,25.424747467041016,538.5538330078125,25.75801658630371,41.70124053955078,2558.0,25.48140525817871,1.2640000581741333
2008-10,18.415964126586914,1.3007804155349731,12.447998046875,22.76092529296875,463.5653991699219,24.259695053100586,25.352083206176758,2053.0,21.677330017089844,1.523800015449524
2008-11,16.30780601501465,1.1398590803146362,11.607610702514648,21.45860481262207,569.4314575195312,23.451908111572266,28.025232315063477,2372.0,20.816984176635742,1.5506000518798828
2008-12,17.377906799316406,1.186794400215149,11.454036712646484,23.500869750976562,552.5891723632812,22.838520050048828,34.33054733276367,2665.0,22.082199096679688,1.4931999444961548
2009-01,15.491095542907715,1.133154034614563,12.09655475616455,20.393077850341797,417.0484313964844,24.508358001708984,28.475053787231445,2771.0,21.438257217407227,1.6319999694824219
2009-02,14.64565658569336,1.10633385181427,9.823868751525879,19.244667053222656,408.2603454589844,22.148231506347656,31.087799072265625,,20.3035945892334,1.6864999532699585
2009-03,15.699203491210938,1.159974217414856,9.612556457519531,19.860305786132812,418.31610107421875,23.04332733154297,37.71018600463867,,21.05143928527832,1.6676000356674194
2009-04,19.77683448791504,1.6159175634384155,10.225174903869629,19.209152221679688,442.4496154785156,23.965065002441406,31.95879554748535,2345.0,21.739112854003906,1.5958000421524048
2009-05,23.76342010498047,1.6293278932571411,11.40937614440918,22.417709350585938,466.583251953125,23.35500144958496,42.11693572998047,2588.0,23.97405433654785,1.5313999652862549
2009-06,24.478792190551758,1.7245558500289917,11.072904586791992,23.124595642089844,476.6390380859375,24.07295036315918,40.242523193359375,2487.0,21.87664794921875,1.5390000343322754
2009-07,29.759998321533203,1.8862327337265015,12.52367115020752,25.25142478942871,499.56591796875,26.714292526245117,46.7347526550293,2892.0,21.80788230895996,1.4696999788284302
2009-08,32.008033752441406,2.3577911853790283,12.528091430664062,25.47886085510254,461.75665283203125,26.232820510864258,44.7576904296875,2772.0,22.426786422729492,1.499500036239624
2009-09,33.24443435668945,2.4521028995513916,11.608922958374023,26.241073608398438,493.5326232910156,26.1835994720459,41.95024490356445,3140.0,21.885242462158203,1.4831000566482544
2009-10,31.6972713470459,2.4521028995513916,12.295710563659668,28.59532928466797,461.75665283203125,25.462636947631836,38.23162078857422,3297.0,21.979799270629883,1.4987000226974487
2009-11,30.401344299316406,2.128748655319214,11.875730514526367,29.148550033569336,528.1242065429688,23.832061767578125,41.474544525146484,,22.7706241607666,1.527400016784668
2009-12,35.63794708251953,2.3712644577026367,12.143799781799316,29.7202091217041,525.3082275390625,24.30989646911621,42.9223747253418,3289.0,22.727645874023438,1.4982999563217163
2010-01,36.99392318725586,2.6137800216674805,12.489688873291016,29.20387077331543,549.84423828125,24.744609832763672,39.533241271972656,3184.0,21.747709274291992,1.4954999685287476
2010-02,33.09982681274414,2.2904257774353027,12.837373733520508,30.57463264465332,520.513427734375,27.0064697265625,40.071189880371094,2917.0,21.833667755126953,1.5489000082015991
2010-03,38.0837287902832,2.4790494441986084,13.65466594696045,31.472078323364258,549.1395874023438,29.31420135498047,41.59341812133789,2969.0,20.819347381591797,1.5155999660491943
